skuId,num
100026667910,897
100026809200,491
100026667878,350
100026667858,272
100014352543,252
100026667880,230
100014352539,229
100039860256,225
10046276392414,220
100035246702,212
10046276392415,200
100012043978,200
100010668997,180
100010282457,177
52242639743,174
10038334917291,162
100014352501,160
100019085072,154
100017543934,146
100019386660,139
100016376331,127
100018967765,127
100038849174,124
100023150131,122
100026667872,121
100008348542,119
100030441714,116
100016931023,112
100031406012,108
100014352499,108
100039173190,105
100017224833,97
100022231337,97
100014352525,97
100028235502,96
100036448552,96
100019125569,95
100013588053,94
100022841549,93
100019737805,90
100015195345,90
100014453195,88
100016944073,87
100038477526,85
100025520132,84
100017508669,83
100018761109,78
100019386658,78
100018834988,78
100035246704,77
100031192618,75
100039173172,73
100029371874,73
100026667884,70
100023781630,70
70202792225,69
100016799388,67
100012988004,66
100015491508,66
100021889007,66
100029666262,66
100038249886,65
100035225802,64
100034710036,64
100010219881,63
100009077475,62
100026379080,62
100010607429,61
100019145368,61
100014348492,60
10047167091611,59
100008348530,59
100022548211,57
100011647508,57
100027873626,56
100016046426,56
10027467230755,56
4679424,55
100033587458,55
100039740906,54
100015479747,54
100022219333,54
100018015910,53
100020571745,53
28100295826,52
100023014934,52
100014794825,52
100033301080,51
100031406046,51
100020043319,51
100016263861,50
100026819200,50
100032938600,50
100027703906,50
5675728,50
10037586434072,50
100017981386,49
100013902765,49
100014546493,49
10027459157145,49
