skuId,num
100026667910,127
100023781630,58
5675728,50
100007341468,36
100026667878,32
100026667858,29
100026809200,26
100026667880,25
100014352501,24
100027606896,18
100035246702,12
100014352525,12
100014352543,12
100039860256,10
100019386660,10
4080819,10
100014352539,9
100017224833,9
100021188117,9
100018967765,9
100000052635,9
100019125569,7
100007004295,6
10051420880224,6
3369881,6
100014352499,6
100033587428,6
100008348542,6
100025937074,6
2922989,6
10034064617634,6
100016046426,6
4679424,6
100012043978,6
100011582274,5
100023122529,5
100026667872,5
8753300,5
100024220849,5
100018834988,5
100021180804,5
100023000435,5
100015491508,5
100019145368,5
100007344273,4
100007418435,4
100019386658,4
7224900,4
100016943563,4
2346246,4
3759085,4
100026675404,4
1082266,4
100019736906,4
100023538231,4
100008550229,4
10052286727758,4
100038312438,4
3853817,4
100034295782,4
3311987,4
100011553980,4
65583414051,4
100023904387,4
100039635576,4
100026699676,4
100019522560,3
100011192173,3
100004485766,3
100007567811,3
100038249886,3
10036900767207,3
6977503,3
100003829341,3
100021889007,3
51563051331,3
2693720,3
10042014397685,3
100018015910,3
2828950,3
100007043745,3
100004891372,3
2783187,3
100008718537,3
100025520132,3
100013008362,3
100007033441,3
100016263861,3
100038041918,3
100020236289,3
100009820314,3
100018768506,3
100019517343,3
4858894,3
100033301080,3
100017827420,3
100036139400,3
10052623712239,3
1304718,3
4296554,3
