F,num,,,,,,,,,,
1,5855,,F__,1,2,3,4,5,6,7,8
2,42,,__,5855,42,8,5,3,2,1,2
3,8,,F__,9,11,13,17,31,36,48,81
4,5,,__,1,3,1,1,1,1,1,1
5,3,,,,,,,,,,
6,2,,,,,,,,,,
7,1,,,,,,,,,,
8,2,,,,,,,,,,
9,1,,,,,,,,,,
11,3,,,,,,,,,,
13,1,,,,,,,,,,
17,1,,,,,,,,,,
31,1,,,,,,,,,,
36,1,,,,,,,,,,
48,1,,,,,,,,,,
81,1,,,,,,,,,,
